GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agricultureh (% of employed),Employment in industryh (% of employed),Employment in servicese (% employed),Unemploymenth (% of labour force),Labour force participation rateh (female/male pop. %),CPI: Consumer Price Index (2010=100),Agricultural production index (2014-2016=100),International trade: exports (million current US$),International trade: imports (million current US$),International trade: balance (million current US$),"Balance of payments, current account (million US$)",Country
"['14 699', '18 713', '17 877b']","['5.2', '-1.4', '4b']","['503.6', '543.8', '469.9b']","['33.2', '27.3', '26.9d,b']","['13', '10.8', '12.8e,f,b']","['53.8', '61.9', '60.4g,b']","['54.7', '47.1', '42.4c']","['14.4', '17', '18.3c']",,"['11.5', '11.4', '11.2c']","['14.9 /       78.4', '18.8 /       76.2', '21.8 /       74.6c']","['100', '133', '150b']","['93', '96', '111b']","['388', '571', '1 022h,c']","['5 154', '7 723', '9 683h,c']","['- 4 766', '- 7 151', '- 8 661h,c']","['-578', '- 4 193', '- 3 137c']",Afghanistan
"['11 927', '11 387', '15 278b']","['3.7', '2.2', '2.2b']","['4 045.7', '3 939.4', '5 303.2b']",,,,,,,"['14.1', '17.1', '12.8c']","['45.8 /       62.9', '46.1 /       63.8', '46.6 /       64.4c']",,"['86', '100', '103b']",,,,"['- 1 356', '-980', '- 1 318c']",Albania
"['161 207', '165 979', '171 158b']","['3.6', '3.7', '0.8b']","['4 480.8', '4 177.9', '3 975.5b']","['8.6', '12.1', '12.9b']","['51.4', '37.3', '39b']","['40', '50.6', '48.1b']",,,"['58', '58.7', '59.6d']",,,,"['76', '100', '112b']","['57 051', '34 796', '28 986e,d']","['41 000', '51 803', '41 678e,d']","['16 051', '- 17 007', '- 12 692e,d']","['12 220', '- 27 038', '- 17 148b']",Algeria
,,,,,,,,,,,,,,,,,American Samoa
"['3 447', '2 789', '3 154b']","['-2', '1.4', '1.8b']","['40 812.4', '35 748.3', '40 887.4b']",,,,,,,,,,,"['92', '90', '165j,d']","['1 541', '1 294', '1 499j,d']","['- 1 448', '- 1 204', '- 1 334j,d']","['...', '...', '568b']",Andorra
"['83 799', '116 194', '85 001b']","['4.9', '0.9', '-1.5b']","['3 587.9', '4 167.0', '2 670.9b']","['6.2', '9.1', '9.5b']","['52.1', '42.1', '44.5b']","['41.7', '48.8', '45.9b']",,,"['43.3', '40.8', '41.7d']",,,,"['90', '100', '110b']","['52 612', '33 925', '72 235e,d']","['18 143', '21 549', '40 991e,d']","['34 469', '12 376', '31 244e,d']","['7 506', '- 10 273', '894d']",Angola
"['268', '331', '380b']","['-4.6', '3.1', '5.4b']","['19 923.5', '23 148.3', '25 528.6b']","['2.1', '2.3', '2.9b']","['16.1', '15.7', '11.8b']","['81.9', '81.9', '85.3b']",,,,,,"['100f', '105', '107b']",,,,,"['-51', '-89', '-136d']",Anguilla
"['1 149', '1 337', '1 662b']","['-7.8', '3.8', '3.4b']","['13 049.3', '14 286.1', '17 112.8b']","['1.8', '1.8', '2b']","['18.3', '18.7', '24.1b']","['79.9', '79.5', '74b']",,,,,,"['100', '110', '115b']","['102', '99', '93b']","['35', '26', '22h,e']","['501', '465', '401h,e']","['-466', '-439', '-380h,e']","['-167', '29', '-113d']",Antigua and Barbuda
"['426 487', '644 903', '449 664c']","['10.1', '2.7', '-2.2c']","['10 428.6', '14 971.5', '10 041.5c']","['8.5', '6.1', '8.6c']","['30.1', '27.5', '27.6c']","['61.4', '66.3', '63.9c']",,,,,,"['...', '...', '331g,e']","['88', '104', '113c']","['68 174', '56 784', '54 884e']","['56 792', '60 203', '42 356e']","['11 382', '- 3 419', '12 528e']","['- 1 623', '- 17 622', '2 985e']",Argentina
"['9 875', '10 553', '13 673b']","['2.2', '3.2', '7.6b']","['3 432.1', '3 607.3', '4 622.7b']",,,,,,,"['19', '18.3', '16.6c']","['47.2 /       67.8', '49.0 /       66.8', '47.0 /       65.8c']",,"['74', '106', '81b']","['1 011', '1 483', '2 520c']","['3 782', '3 257', '4 541c']","['- 2 770', '- 1 774', '- 2 021c']","['- 1 261', '-285', '-394c']",Armenia
"['2 502', '2 920', '3 293b']","['-3.3', '5.7', '-0.7b']","['24 607.3', '27 980.4', '30 974.7b']",,,,,,,,,,,"['125', '80', '66d']","['1 071', '1 165', '939d']","['-947', '- 1 085', '-873d']","['-460', '111', '-324d']",Aruba
"['1 299 463', '1 247 634', '1 380 208d']","['2.5', '2.8', '-0.3d']","['58 654.1', '52 131.4', '54 763.2d']",,,,,,,,,,"['85', '100', '89d']",,,,"['- 44 714', '- 56 959', '33 829f']",Australia
"['391 893', '381 818', '445 075b']","['1.8', '1', '1.4b']","['46 598.7', '43 995.0', '49 700.8b']",,,,,,,"['4.8', '5.7', '4.8c']","['53.5 /       66.9', '54.5 /       66.0', '55.0 /       66.4c']","['100', '111', '120c']","['95', '97', '100b']","['144 882', '145 276', '164 332h,c']","['150 593', '147 928', '162 981h,c']","['- 5 711', '- 2 652', '1 351h,c']","['11 472', '6 634', '10 781c']",Austria
"['52 906', '53 076', '48 048c']","['4.8', '1', '2.2c']","['5 857.3', '5 515.7', '4 781.9c']",,,,,,,,,"['100', '118', '161e']","['86', '101', '126c']","['21 278', '12 646', '13 741e']","['6 597', '9 214', '10 730e']","['14 682', '3 432', '3 011e']","['15 040', '-222', '-228e']",Azerbaijan
"['10 096', '11 711', '13 579b']","['1.5', '0.2', '1.2b']","['28 443.5', '31 295.1', '34 863.7b']",,,,,,,,,,"['93', '101', '101b']","['620', '443', '410i,d']","['2 862', '3 161', '2 790i,d']","['- 2 242', '- 2 719', '- 2 380i,d']","['-814', '- 1 203', '- 2 065d']",Bahamas
"['25 713', '31 126', '38 574b']","['4.3', '2.9', '1.8b']","['20 722.1', '22 688.9', '23 504.0b']",,,,,,,,,,"['32', '104', '129b']","['16 059', '13 882', '14 066f,d']","['16 002', '16 390', '14 193f,d']","['58', '- 2 508', '-127f,d']","['770', '-752', '- 2 435h']",Bahrain
"['114 508', '194 466', '301 051b']","['5.6', '6.6', '8.2b']","['775.9', '1 244.5', '1 846.4b']","['17.8', '15.3', '13.3b']","['26.1', '27.8', '31.2b']","['56', '57', '55.5b']",,,,,,,"['90', '101', '109b']","['19 231', '31 734', '30 768e,d']","['30 504', '48 059', '45 777e,d']","['- 11 273', '- 16 325', '- 15 009e,d']","['2 109', '2 580', '1 082d']",Bangladesh
"['4 530', '4 715', '5 209b']","['-2.3', '2.4', '-0.1b']","['16 056.2', '16 525.1', '18 149.0b']",,,,,,,,,,"['107', '102', '106b']","['314', '483', '345d']","['1 196', '1 618', '1 501d']","['-883', '- 1 135', '- 1 156d']","['-272', '-99', '-453n']",Barbados
