Individuals using the Interneth (per 100 inhabitants),Threatened species (number),Forested areah (% of land area),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Important sites for terrestrial biodiversity protected (%),"Pop. using safely managed drinking water (urban/rural, %)",Net Official Development Assist. received (% of GNI),Country
"['4', '8.3', '11.4n']","['34', '38', '48']","['1.9', '1.9', '1.9l']","['41', '61', '89l']","['5', '4', '4l']","['5.7', '5.7', '5.7c']","['28.2 /       16.3', '32.4 /       20.4', '36.4 /       24.5c']","['39.25', '21.28', '21.34b']",Afghanistan
,"['100', '112', '147']","['28.5', '28.8', '28.8m']","['69', '87', '81m']","['31', '31', '32m']","['41.8', '49.4', '50.5c']",,"['3.09', '2.91', '0.18b']",Albania
,"['105', '114', '170']",,"['6 200', '5 883', '6 254e,k']","['46', '56', '58k']","['34.6', '35.4', '36.5d']","['81.7 /       61.1', '79.5 /       65.9', '73.7 /       68.7d']","['0.13', '0.04', '0.1b']",Algeria
,"['79', '90', '102']",,,,"['25', '25', '25h']",,,American Samoa
,"['8', '11', '14']",,,"['114', '113', '122c']","['17.9', '26.1', '26.1d']",,,Andorra
,"['117', '130', '193']",,"['4 016', '4 030', '3 793j']","['20', '20', '17j']","['28.1', '28.1', '28.1d']",,"['0.31', '0.35', '0.03b']",Angola
,"['33', '51', '69']",,,,"['3.4', '3.4', '6.8e']",,,Anguilla
"['47', '70', '73o']","['38', '53', '73']","['20', '19.2', '18.8d']",,,"['19.4', '19.7', '26.9e']",,"['1.75', '0.12', '1.69b']",Antigua and Barbuda
,"['213', '243', '320']",,"['3 331', '3 059', '3 152k']","['81', '79', '74k']","['29.7', '31.1', '32.1e']",,"['0.03', '0', '0c']",Argentina
,"['36', '111', '116']",,"['39h', '45', '37m']","['37h', '46', '44m']","['21.6', '22.6', '22.6c']",,"['3.3', '3.16', '3b']",Armenia
,"['22', '29', '60']",,,,"['37.1', '37.1', '37.1d']",,,Aruba
,,,,,"['45.9', '52.2', '56.6f']","['98.7 / ...', '99.0 / ...', '99.0 / ...f']",,Australia
,"['82', '106', '188']",,"['500', '501', '488l']","['170', '158', '155l']","['65.8', '66.9', '67.4c']",,,Austria
,"['45', '92', '100']",,"['2 759', '2 474', '2 349n']","['54', '63', '61n']","['36.1', '36.1', '36.6e']","['93.0 /       58.0', '95.5 /       72.2', '96.2 /       78.1e']","['0.32', '0.14', '0.26c']",Azerbaijan
,"['62', '81', '121']",,"['0', '0', '0c']","['78', '82', '101c']","['11.2', '29.8', '29.8d']",,,Bahamas
,"['32', '32', '53']",,"['849', '957', '946f,h']","['413', '421', '371h']","['0', '0', '0d']",,,Bahrain
,"['122', '137', '201']",,"['1 304', '1 510', '1 602k']","['10', '12', '12k']","['41.5', '41.5', '41.5d']","['42.3 /       60.5', '46.9 /       61.2', '52.8 /       62.1d']","['1.06', '1.25', '1.38b']",Bangladesh
,"['36', '51', '74']",,"['4', '3', '3c']","['71', '59', '59c']","['1.8', '1.8', '1.8d']",,"['0.35', '...', '...']",Barbados
,"['16', '21', '31']",,"['167', '163', '171l']","['122', '113', '120l']","['33.9', '47.1', '47.1d']",,"['0.24', '0.19', '0.35b']",Belarus
,"['27', '30', '70']",,"['646', '444', '484m']","['228', '193', '193m']","['73.1', '74.1', '75.6d']",,,Belgium
,"['92', '117', '174']",,"['14e', '9', '8c']","['40', '44', '42c']","['41.1', '43.3', '43.3d']",,"['1.95', '1.74', '2.08b']",Belize
,"['62', '74', '114']",,"['86', '114', '114e']","['17', '18', '19e']","['66.7', '66.7', '66.7f']",,"['7.27', '3.86', '4.16b']",Benin
,"['50', '64', '86']",,,"['135p', '127', '165c']","['52', '52', '52d']",,,Bermuda
,"['59', '71', '110']",,"['73', '77', '77c']","['83', '88', '94c']","['45.4', '47', '47d']","['48.8 /       25.4', '48.9 /       27.2', '49.0 /       27.6d']","['6.66', '5.23', '4.85c']",Bhutan
,"['163', '216', '447']",,"['666', '949', '835g,e']","['28', '33', '36e']","['48.2', '48.2', '48.2f']",,"['2.98', '2.48', '1.77c']",Bolivia (Plurinational State of)
,"['...', '55', '77']",,,,"['39.3', '62.5', '62.5e']",,,"Bonaire, Sint Eustatius and Saba"
,"['67', '85', '107']",,"['182', '173', '238m']","['73', '73', '94m']","['28.9', '29', '29d']",,"['2.93', '2.18', '2.29b']",Bosnia and Herzegovina
,"['18', '24', '35']",,"['30', '56', '65c']","['37', '38', '45c']","['51.1', '51.1', '51.1d']","['83.7 / ...', '83.4 / ...', '83.1 / ...d']","['1.27', '0.47', '0.4b']",Botswana
,"['773', '966', '1 705']",,"['10 116', '11 567', '12 538o']","['56', '61', '58o']","['42.1', '42.9', '43.8d']","['83.4 /       56.4', '85.1 /       62.9', '87.8 /       71.8d']","['0.02', '0.06', '0.02b']",Brazil
,"['43', '61', '99']",,,,"['10.5', '10.5', '10.5j']",,,British Virgin Islands
,"['170', '189', '317']",,"['775', '673', '639c']","['349', '274', '364c']","['41.7', '41.7', '41.7d']",,,Brunei Darussalam
,"['66', '85', '127']","['34.4', '35.3', '35.6l']","['442', '507', '506l']","['100', '108', '111l']","['95.7', '95.7', '96.6c']",,,Bulgaria
,"['24', '29', '36']",,"['118', '126', '131i,n']","['9', '10', '10n']","['66.7', '66.7', '66.7d']",,"['...', '8.82', '7.23b']",Burkina Faso
,"['52', '60', '194']",,"['54e', '56', '56e,c']","['7e', '6', '6c']","['56.8', '56.8', '56.8d']",,"['31.05', '11.81', '18.34b']",Burundi
,"['31', '51', '123']",,"['1', '2i', '2i,c']","['19', '17i', '19i,c']","['12', '12', '12d']",,"['20.55', '9.96', '7.84b']",Cabo Verde
,"['204', '243', '306']",,"['152', '184', '211g']","['16', '19', '21g']","['24.7', '25.8', '54.5d']","['51.1 /       14.5', '54.2 /       16.4', '57.1 /       18.4d']","['6.35', '4.01', '3.9b']",Cambodia
,"['624', '697', '1 017']",,"['351', '493', '502m']","['14', '16', '16m']","['32.3', '35.3', '35.3d']",,"['2.08', '2.18', '3.41b']",Cameroon
